timestep,other/elapsed_time,other/episode,other/replay,other/speed,other/step,other/train_step,score/num_success,score/score
5000,244.39,51,101,20.46,5000,2499,26,0.05
10000,239.31,104,154,20.89,10000,4999,38,0.20
15000,240.39,163,213,20.80,15000,7499,67,0.35
20000,240.80,243,293,20.76,20000,9999,126,0.75
25000,242.13,351,401,20.65,25000,12499,226,0.95
30000,240.93,473,500,20.75,30000,14999,341,0.95
35000,252.21,604,500,19.82,35000,17499,466,0.90
40000,255.61,737,500,19.56,40000,19999,587,1.00
45000,254.94,887,501,19.61,45000,22499,730,0.95
50000,253.54,1030,500,19.72,50000,24999,863,1.00
55000,254.93,1184,500,19.61,55000,27499,1010,0.90
60000,254.57,1341,500,19.64,60000,29999,1160,1.00
